Year,"Grupo de edad","Tipo de violencia",Value
2021,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia física, sexual o emocional",22.3388489446551
2016,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia física, sexual o emocional",27.4092807381556
2011,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia física, sexual o emocional",28.0923210186621
2021,"Total de 15 a 49 años de edad","Sin al menos un incidente de violencia física, sexual o emocional",77.5738570462952
2016,"Total de 15 a 49 años de edad","Sin al menos un incidente de violencia física, sexual o emocional",72.407458933204
2011,"Total de 15 a 49 años de edad","Sin al menos un incidente de violencia física, sexual o emocional",71.6529696092456
2021,"Total de 15 a 49 años de edad","No especificado",0.0872940090497376
2016,"Total de 15 a 49 años de edad","No especificado",0.183260328640364
2011,"Total de 15 a 49 años de edad","No especificado",0.254709372092306
2021,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia física",5.659327055253219
2016,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia física",7.18620900276384
2011,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia física",5.364054149869749
2021,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia sexual",2.5269408233304
2016,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia sexual",2.408469206859
2011,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia sexual",2.51445759255842
2021,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia emocional",21.4745001122692
2016,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia emocional",26.7309001968874
2011,"Total de 15 a 49 años de edad","Con al menos un incidente de violencia emocional",26.6659269561891
2021,"De 15 a 17 años","Con al menos un incidente de violencia física, sexual o emocional",23.3957212385366
2016,"De 15 a 17 años","Con al menos un incidente de violencia física, sexual o emocional",29.3500954852077
2011,"De 15 a 17 años","Con al menos un incidente de violencia física, sexual o emocional",28.8760868972404
2021,"De 15 a 17 años","Sin al menos un incidente de violencia física, sexual o emocional",76.3683197492843
2016,"De 15 a 17 años","Sin al menos un incidente de violencia física, sexual o emocional",69.9340922128122
2011,"De 15 a 17 años","Sin al menos un incidente de violencia física, sexual o emocional",71.0441265939671
2021,"De 15 a 17 años","No especificado",0.23595901217913698
2016,"De 15 a 17 años","No especificado",0.715812301980138
2011,"De 15 a 17 años","No especificado",0.0797865087925015
2021,"De 15 a 17 años","Con al menos un incidente de violencia física",2.46943802951685
2016,"De 15 a 17 años","Con al menos un incidente de violencia física",5.06843711651616
2011,"De 15 a 17 años","Con al menos un incidente de violencia física",3.13283113751959
2021,"De 15 a 17 años","Con al menos un incidente de violencia sexual",2.2545355773121
2016,"De 15 a 17 años","Con al menos un incidente de violencia sexual",1.59369531384257
2011,"De 15 a 17 años","Con al menos un incidente de violencia sexual",1.89517641892572
2021,"De 15 a 17 años","Con al menos un incidente de violencia emocional",22.8830025627374
2016,"De 15 a 17 años","Con al menos un incidente de violencia emocional",28.734972274193797
2011,"De 15 a 17 años","Con al menos un incidente de violencia emocional",28.4206878847689
2021,"De 18 a 19 años","Con al menos un incidente de violencia física, sexual o emocional",24.1080072828511
