Year,Entidad federativa,Índice de finalización,Población que finalizó el nivel de instrucción,GeoCode,Value
2020,Estados Unidos Mexicanos,Indice de finalización primaria,Total,0,97.95882138
2018,Estados Unidos Mexicanos,Indice de finalización primaria,Total,0,97.89028547
2016,Estados Unidos Mexicanos,Indice de finalización primaria,Total,0,97.75227956000002
2020,Estados Unidos Mexicanos,Indice de finalización primaria,Hombres,0,97.58238942
2018,Estados Unidos Mexicanos,Indice de finalización primaria,Hombres,0,97.51202503
2016,Estados Unidos Mexicanos,Indice de finalización primaria,Hombres,0,97.59568477999998
2020,Estados Unidos Mexicanos,Indice de finalización primaria,Mujeres,0,98.34984435
2018,Estados Unidos Mexicanos,Indice de finalización primaria,Mujeres,0,98.28331398
2016,Estados Unidos Mexicanos,Indice de finalización primaria,Mujeres,0,97.91222581
2020,Estados Unidos Mexicanos,Indice de finalización primaria,Hablantes de lengua indígena,0,95.02655229
2018,Estados Unidos Mexicanos,Indice de finalización primaria,Hablantes de lengua indígena,0,93.19721560000002
2016,Estados Unidos Mexicanos,Indice de finalización primaria,Hablantes de lengua indígena,0,95.02126064
2020,Estados Unidos Mexicanos,Indice de finalización primaria,Población con alguna discapacidad,0,80.21767758
2018,Estados Unidos Mexicanos,Indice de finalización primaria,Población con alguna discapacidad,0,83.43021346
2016,Estados Unidos Mexicanos,Indice de finalización primaria,Población con alguna discapacidad,0,79.19077516999998
2020,Estados Unidos Mexicanos,Indice de finalización primaria,Cambio de residencia,0,96.83023267
2018,Estados Unidos Mexicanos,Indice de finalización primaria,Cambio de residencia,0,97.83725762999998
2016,Estados Unidos Mexicanos,Indice de finalización primaria,Cambio de residencia,0,97.04476565000002
2020,Estados Unidos Mexicanos,Indice de finalización secundaria,Total,0,90.34206493
2018,Estados Unidos Mexicanos,Indice de finalización secundaria,Total,0,88.62381714000001
2016,Estados Unidos Mexicanos,Indice de finalización secundaria,Total,0,87.55826018000002
2020,Estados Unidos Mexicanos,Indice de finalización secundaria,Hombres,0,89.24836399000002
2018,Estados Unidos Mexicanos,Indice de finalización secundaria,Hombres,0,87.44113202999999
2016,Estados Unidos Mexicanos,Indice de finalización secundaria,Hombres,0,86.49860488
2020,Estados Unidos Mexicanos,Indice de finalización secundaria,Mujeres,0,91.44426779
2018,Estados Unidos Mexicanos,Indice de finalización secundaria,Mujeres,0,89.8030099
2016,Estados Unidos Mexicanos,Indice de finalización secundaria,Mujeres,0,88.64038628000002
2020,Estados Unidos Mexicanos,Indice de finalización secundaria,Hablantes de lengua indígena,0,73.20163096
2018,Estados Unidos Mexicanos,Indice de finalización secundaria,Hablantes de lengua indígena,0,68.16871889
2016,Estados Unidos Mexicanos,Indice de finalización secundaria,Hablantes de lengua indígena,0,65.49714521
2020,Estados Unidos Mexicanos,Indice de finalización secundaria,Población con alguna discapacidad,0,72.27266782
2018,Estados Unidos Mexicanos,Indice de finalización secundaria,Población con alguna discapacidad,0,60.49084322
2016,Estados Unidos Mexicanos,Indice de finalización secundaria,Población con alguna discapacidad,0,57.15057332999999
2020,Estados Unidos Mexicanos,Indice de finalización secundaria,Cambio de residencia,0,85.42144487999998
2018,Estados Unidos Mexicanos,Indice de finalización secundaria,Cambio de residencia,0,82.39692981
2016,Estados Unidos Mexicanos,Indice de finalización secundaria,Cambio de residencia,0,83.29025747000001
2020,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Total,0,61.53509487000001
2018,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Total,0,58.69460629000001
2016,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Total,0,54.77185162
2020,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Hombres,0,59.608742160000006
2018,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Hombres,0,56.49383687
2016,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Hombres,0,54.75024403999999
2020,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Mujeres,0,63.4695238
2018,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Mujeres,0,60.84936517
2016,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Mujeres,0,54.79390994
2020,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Hablantes de lengua indígena,0,36.60412413
2018,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Hablantes de lengua indígena,0,32.10211893000001
2016,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Hablantes de lengua indígena,0,28.290154059999995
2020,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Población con alguna discapacidad,0,34.34230029
2018,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Población con alguna discapacidad,0,35.27948530999999
2016,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Población con alguna discapacidad,0,36.44769387
2020,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Cambio de residencia,0,57.27442499
2018,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Cambio de residencia,0,51.39759106999999
2016,Estados Unidos Mexicanos,Indice de finalización preparatoria (Media superior),Cambio de residencia,0,57.66013643999999
2020,Aguascalientes,Indice de finalización primaria,Total,1,98.05187764
2018,Aguascalientes,Indice de finalización primaria,Total,1,98.71917104
2016,Aguascalientes,Indice de finalización primaria,Total,1,98.00800739
2020,Aguascalientes,Indice de finalización primaria,Hombres,1,97.70227568
2018,Aguascalientes,Indice de finalización primaria,Hombres,1,98.75176875
2016,Aguascalientes,Indice de finalización primaria,Hombres,1,96.88124059999998
2020,Aguascalientes,Indice de finalización primaria,Mujeres,1,98.39023234
2018,Aguascalientes,Indice de finalización primaria,Mujeres,1,98.68702974999998
2016,Aguascalientes,Indice de finalización primaria,Mujeres,1,99.13330379
2020,Aguascalientes,Indice de finalización primaria,Hablantes de lengua indígena,1,
2018,Aguascalientes,Indice de finalización primaria,Hablantes de lengua indígena,1,
2016,Aguascalientes,Indice de finalización primaria,Hablantes de lengua indígena,1,
2020,Aguascalientes,Indice de finalización primaria,Población con alguna discapacidad,1,95.62624254
2018,Aguascalientes,Indice de finalización primaria,Población con alguna discapacidad,1,86.63940014
2016,Aguascalientes,Indice de finalización primaria,Población con alguna discapacidad,1,71.72939068
2020,Aguascalientes,Indice de finalización primaria,Cambio de residencia,1,
2018,Aguascalientes,Indice de finalización primaria,Cambio de residencia,1,
2016,Aguascalientes,Indice de finalización primaria,Cambio de residencia,1,
2020,Aguascalientes,Indice de finalización secundaria,Total,1,91.9958965
2018,Aguascalientes,Indice de finalización secundaria,Total,1,93.12785979
2016,Aguascalientes,Indice de finalización secundaria,Total,1,89.19113790999998
2020,Aguascalientes,Indice de finalización secundaria,Hombres,1,89.00890699
2018,Aguascalientes,Indice de finalización secundaria,Hombres,1,92.05688702
2016,Aguascalientes,Indice de finalización secundaria,Hombres,1,88.01727998
2020,Aguascalientes,Indice de finalización secundaria,Mujeres,1,95.27636268000002
2018,Aguascalientes,Indice de finalización secundaria,Mujeres,1,94.07111874
2016,Aguascalientes,Indice de finalización secundaria,Mujeres,1,90.3541509
2020,Aguascalientes,Indice de finalización secundaria,Hablantes de lengua indígena,1,
2018,Aguascalientes,Indice de finalización secundaria,Hablantes de lengua indígena,1,
2016,Aguascalientes,Indice de finalización secundaria,Hablantes de lengua indígena,1,
2020,Aguascalientes,Indice de finalización secundaria,Población con alguna discapacidad,1,93.02736099000002
2018,Aguascalientes,Indice de finalización secundaria,Población con alguna discapacidad,1,94.76584022
2016,Aguascalientes,Indice de finalización secundaria,Población con alguna discapacidad,1,
2020,Aguascalientes,Indice de finalización secundaria,Cambio de residencia,1,
2018,Aguascalientes,Indice de finalización secundaria,Cambio de residencia,1,
2016,Aguascalientes,Indice de finalización secundaria,Cambio de residencia,1,
